['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_55_48'],"['Pastures', 'Complex cultivation patterns', 'Broad-leaved forest', 'Coniferous forest']","[7, 6, 4, 1]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T93030_58_59'],"['Complex cultivation patterns', 'Broad-leaved forest', 'Mixed forest']","[6, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93020_67_24'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180509T092029_12_0'],"['Broad-leaved forest', 'Transitional woodland/shrub']","[4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_69_41'],"['Non-irrigated arable land', 'Agro-forestry areas', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 11, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170813T112121_0_15'],"['Permanently irrigated land', 'Complex cultivation patterns', 'Broad-leaved forest', 'Salt marshes', 'Estuaries']","[13, 6, 4, 33, 36]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180219T094031_9_79'],"['Coniferous forest', 'Transitional woodland/shrub', 'Peatbogs', 'Water bodies']","[1, 3, 12, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171015T095031_27_50'],"['Discontinuous urban fabric', 'Non-irrigated arable land']","[10, 2]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180529T115401_34_49'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180228T101021_23_30'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_31_67'],"['Rice fields', 'Broad-leaved forest', 'Transitional woodland/shrub']","[27, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171121T112351_72_67'],"['Permanently irrigated land', 'Olive groves', 'Agro-forestry areas', 'Broad-leaved forest', 'Transitional woodland/shrub']","[13, 16, 11, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180506T100031_69_17'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Broad-leaved forest']","[2, 6, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_33_24'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Inland marshes', 'Water bodies']","[5, 1, 22, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_49_31'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Transitional woodland/shrub']","[2, 5, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180521T100029_36_83'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[2, 5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180422T093029_35_58'],"['Discontinuous urban fabric', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[10, 6, 5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180509T092029_26_4'],"['Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub']","[4, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170831T095029_9_35'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Vineyards']","[10, 2, 20]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94160_43_53'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180318T093031_16_56'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[5, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170801T095029_0_68'],"['Non-irrigated arable land', 'Broad-leaved forest', 'Mixed forest']","[2, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T114349_46_2'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures']","[10, 2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T094131_89_27'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170817T101019_74_43'],"['Non-irrigated arable land', 'Mixed forest', 'Transitional woodland/shrub', 'Inland marshes']","[2, 0, 3, 22]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171121T112351_50_41'],"['Non-irrigated arable land', 'Permanently irrigated land', 'Agro-forestry areas', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 13, 11, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_77_51'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Transitional woodland/shrub']","[5, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180417T102019_37_44'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180422T093029_2_68'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[10, 2, 6, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_59_77'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Mixed forest']","[10, 2, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170816T095031_8_57'],['Coastal lagoons'],[34]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T100030_7_75'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures', 'Coniferous forest']","[10, 2, 7, 1]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180430T094031_60_31'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Complex cultivation patterns', 'Transitional woodland/shrub', 'Inland marshes']","[10, 2, 6, 3, 22]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T094029_21_28'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180201T093219_7_58'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_36_52'],"['Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[7, 5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_81_24'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171206T094349_54_74'],"['Discontinuous urban fabric', 'Green urban areas', 'Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub', 'Water courses']","[10, 30, 2, 6, 5, 4, 3, 19]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T94132_60_85'],['Water bodies'],[8]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93020_0_76'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest']","[5, 4, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180225T114351_26_78'],"['Non-irrigated arable land', 'Pastures']","[2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171201T112431_21_23'],"['Complex cultivation patterns', 'Broad-leaved forest', 'Transitional woodland/shrub']","[6, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_34_60'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180507T093041_6_15'],"['Complex cultivation patterns', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water courses']","[6, 1, 0, 3, 19]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_69_79'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[2, 5, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170718T115359_2_48'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T095031_70_34'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_31_24'],"['Pastures', 'Complex cultivation patterns', 'Broad-leaved forest', 'Natural grassland', 'Transitional woodland/shrub']","[7, 6, 4, 15, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170617T113321_46_78'],"['Non-irrigated arable land', 'Pastures', 'Coniferous forest', 'Transitional woodland/shrub']","[2, 7, 1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T94020_37_69'],"['Non-irrigated arable land', 'Pastures', 'Coniferous forest', 'Mixed forest']","[2, 7, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180228T101021_70_49'],"['Coniferous forest', 'Transitional woodland/shrub']","[1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_55_40'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Complex cultivation patterns', 'Mixed forest']","[10, 2, 6, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170617T113321_36_28'],"['Non-irrigated arable land', 'Pastures']","[2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_18_54'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T094019_89_29'],"['Pastures', 'Coniferous forest', 'Transitional woodland/shrub']","[7, 1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T114349_41_31'],"['Non-irrigated arable land', 'Pastures']","[2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T94132_85_63'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180220T114339_3_71'],"['Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[7, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_17_12'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180205T100211_7_75'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[2, 5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94160_27_89'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Water bodies']","[5, 1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_0_40'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170818T112109_41_86'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170831T095029_27_67'],"['Discontinuous urban fabric', 'Industrial or commercial units', 'Non-irrigated arable land', 'Broad-leaved forest', 'Transitional woodland/shrub']","[10, 14, 2, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112109_21_59'],['Continuous urban fabric'],[18]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T94032_81_90'],"['Non-irrigated arable land', 'Complex cultivation patterns']","[2, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T093029_12_51'],"['Discontinuous urban fabric', 'Industrial or commercial units', 'Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[10, 14, 2, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94160_59_63'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180422T093029_30_41'],"['Non-irrigated arable land', 'Broad-leaved forest']","[2, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180529T115401_87_58'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Beaches, dunes, sands']","[5, 31]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_19_26'],"['Non-irrigated arable land', 'Permanently irrigated land', 'Pastures']","[2, 13, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101032_40_51'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_7_47'],"['Broad-leaved forest', 'Coniferous forest', 'Mixed forest']","[4, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180508T104031_7_35'],"['Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Transitional woodland/shrub']","[7, 6, 5, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_86_42'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Coniferous forest']","[2, 7, 6, 5, 4, 1]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180224T112109_88_49'],"['Non-irrigated arable land', 'Permanently irrigated land', 'Olive groves', 'Agro-forestry areas']","[2, 13, 16, 11]"
